BALANZA COMERCIAL Y BALANZA DE PAGOS (1) (2) (3);;;;;;;;;;;;;;
(Millones de dólares fob);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Exportaciones;;Importaciones;;Saldo de la Balanza Comercial;;Saldo de la Balanza de Pagos;;;;;;
Año;Mes;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;;;;;
;;;;;;;;;;;;;;
;Marzo;4.299;11.387;2.909;8.854;1.390;2.533;85;460;;;;;
;Abril;4.368;15.754;3.193;12.047;1.174;3.707;188;647;;;;;
;Mayo;4.279;20.033;2.775;14.822;1.504;5.211;-24;623;;;;;
;Junio;4.447;24.480;3.006;17.828;1.441;6.652;-626;-3;;;;;
;Julio;4.751;29.230;3.737;21.565;1.014;7.665;-1;-4;;;;;
;Agosto;4.671;33.902;3.251;24.816;1.421;9.086;1.379;1.375;;;;;
;Septiembre;4.404;38.305;3.248;28.063;1.156;10.242;739;2.114;;;;;
;Octubre;5.744;44.050;3.893;31.956;1.852;12.094;-275;1.840;;;;;
;Noviembre;5.317;49.367;4.009;35.965;1.308;13.402;-24;1.815;;;;;
;Diciembre;6.096;55.463;4.177;40.142;1.919;15.321;-167;1.648;;;;;
2010;Enero;5.067;5.067;3.887;3.887;1.180;1.180;-180;-180;;;;;
;Febrero;5.004;10.072;3.665;7.552;1.339;2.519;276;96;;;;;
;Marzo;5.544;15.616;4.213;11.765;1.331;3.850;759;856;;;;;
;Abril;5.361;20.977;4.224;15.989;1.138;4.988;-50;806;;;;;
;Mayo;5.674;26.650;4.556;20.545;1.117;6.105;107;912;;;;;
;Junio;5.364;32.015;4.249;24.794;1.116;7.221;293;1.206;;;;;
;Julio;6.006;38.021;4.963;29.757;1.043;8.264;-121;1.084;;;;;
;Agosto;6.323;44.343;4.974;34.731;1.349;9.613;-270;815;;;;;
;Septiembre;6.140;50.483;4.774;39.504;1.366;10.979;424;1.239;;;;;
;Octubre;6.343;56.826;5.216;44.721;1.126;12.105;-207;1.032;;;;;
;Noviembre;6.522;63.348;5.168;49.889;1.354;13.459;232;1.263;;;;;
;Diciembre;7.761;71.109;5.327;55.216;2.433;15.893;1.761;3.024;;;;;
2011;Enero;6.490;6.490;4.831;4.831;1.659;1.659;-1.135;-1.135;;;;;
;Febrero;6.004;12.494;4.997;9.829;1.006;2.666;1.292;158;;;;;
;Marzo;7.719;20.213;6.177;16.006;1.542;4.207;2.751;2.908;;;;;
;Abril;7.265;27.478;5.582;21.588;1.683;5.890;-306;2.603;;;;;
;Mayo;7.408;34.886;5.979;27.566;1.430;7.320;1.248;3.851;;;;;
;Junio;6.697;41.584;5.908;33.474;789;8.109;2.009;5.860;;;;;
;Julio;6.387;47.971;6.108;39.583;279;8.388;-548;5.312;;;;;
;Agosto;6.348;54.318;6.464;46.047;-116;8.271;1.643;6.955;;;;;
;Septiembre;6.541;60.859;6.357;52.404;184;8.455;2.555;9.510;;;;;
;Octubre;6.680;67.539;5.771;58.175;908;9.364;5;9.516;;;;;
;Noviembre;6.751;74.289;6.437;64.613;313;9.677;1.191;10.707;;;;;
;Diciembre;7.148;81.438;6.053;70.666;1.096;10.772;3.484;14.190;;;;;
2012;Enero;6.466;6.466;5.607;5.607;859;859;-3.159;-3.159;;;;;
;Febrero;6.331;12.797;5.529;11.137;802;1.660;-243;-3.402;;;;;
;Marzo;7.067;19.864;6.047;17.184;1.020;2.681;561;-2.841;;;;;
;Abril;6.568;26.432;5.730;22.914;837;3.518;-939;-3.780;;;;;
;Mayo;6.420;32.852;6.580;29.494;-159;3.358;732;-3.048;;;;;
;Junio;6.763;39.615;5.745;35.239;1.018;4.376;1.995;-1.053;;;;;
;Julio;5.934;45.549;6.277;41.516;-344;4.032;-2.026;-3.079;;;;;
;Agosto;5.780;51.329;7.107;48.623;-1.327;2.706;-177;-3.256;;;;;
;Septiembre;5.693;57.021;6.091;54.714;-398;2.308;1.284;-1.972;;;;;
