"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000878296605372854","0.000734403892285908","0.000575271854086289","0.000491427131395902","0.0015520945720874","0.00163373335069325","0.00137948182575296","0.000925462733623305","0.000937353198956073","0.00116676045590797","0.000819358991151628","0.0010024391251226","0.000848486758461518","0.000717946084777051","0.000703181870229586","0.000712137437420363","0.000657229262472976","0.00069997018501305","0.000685497461182196","0.000653399781742761","0.000940949466000533","0.000918692037769746","0.000949223427385254","0.000967668246336423","0.00236128359116282","0.00194805566810792","0.00197258928218556","0.00225777018575371","0.00326523583962658","0.00242329615261383","0.00336389674222041","0.00285848501106278","","","",
"Afghanistan","AFG","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","0.302881585007473","0.373956335423381","0.435236464482432","0.867995017395815","1.1337863722694","1.62868504811553","1.87530342118139","1.78429345971716","1.62142880394147","2.23340784903339","2.52599318474121","2.06315955254339","","","","","","","","","","","","","","","","","","","","","1.1133055083904","0.719336357266684","0.44513961032127","0.384138014842015","0.501578226263565","0.445735403142304","0.604206062575377","0.406228568342954","0.587141122964577","0.841022798218308","0.676042625159413","0.526532902745618","0.497003909713743","0.482763041510179","0.597256723402012","0.659662723684155","0.67274095744457","","",
"Angola","AGO","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","20.5428618868467","9.90490371537369","5.36242363848614","10.9633673402549","16.7133856310394","15.1605702957281","7.46442884649433","17.4784333521598","15.7528313084002","22.8970388418511","28.9073509771399","17.3215710384801","28.0009877847307","33.8386015984375","39.1761636682776","41.2651834481625","43.4424220687435","37.6985663442919","18.2585182474411","39.9072791092697","56.1268018092406","38.3873767664991","27.3557631402735","24.5440109424794","36.0491171196506","45.0195826219835","43.7841015446157","47.4848758294807","56.6104401134857","31.7612811096944","39.0141727953896","39.9722884727698","35.6759104049417","30.5546636394702","23.4496756491897","10.772403752276","10.7627453578925","16.2211043429117","26.7682069466731","","",
"Albania","ALB","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","16.1247391190229","16.513448132545","7.66531566744993","10.6807191534075","11.0348508528943","13.5104034533833","11.0505721094329","9.34748821487654","11.419962250754","2.80421001329771","1.73819882536778","1.28768328490906","1.33466168687347","1.37004475080794","0.40804854419621","0.568538852871218","1.09469011479979","0.732448642826781","0.75561303858484","0.762016171544342","0.776287569841788","1.04998352408185","1.43088868879178","2.17159268687785","1.62906887489361","0.979989768322492","2.03373566874262","3.45505654734862","3.59604682038928","3.57832620500188","3.574868782465","1.82139199623227","1.04425520513404","1.60653928889827","2.35447547525245","","",
"Andorra","AND","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Arab World","ARB","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","13.3542059345982","15.0805786004931","16.8674750116193","21.9128483417924","49.0904754509734","39.7263318057418","39.814686154319","38.2503606879025","34.5207378126768","58.9352004290813","52.3214387445006","39.102818959077","25.5407967574243","25.352556707703","24.8120263220625","21.9458370970078","14.0044970097408","17.8827361917336","17.130614806674","24.1772531693621","24.4004442499998","20.4518928660366","21.1188136217174","20.5384528705957","18.6417021746525","19.3920382010286","22.6362873017289","19.5585179577856","13.1205069394113","16.8807736218031","26.3623535678296","21.6724362755914","20.9617157544106","24.0524912538903","29.4010176160087","36.0722697280676","36.7497953830188","33.8762178761213","38.2654873829058","24.7008803667699","28.4489946323498","36.3856538123503","35.6548129978005","32.6566095177291","29.0978028236897","17.2174523361824","14.2364756599548","18.0833813560524","22.9999703825678","","",
"United Arab Emirates","ARE","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","41.7067829027984","40.7963939835449","35.1452847082442","34.3813050945577","60.4728741723433","46.9118563089458","31.5501512100283","22.4873850870902","23.2776640512246","23.3834143828823","24.28664480683","16.5241024237904","24.1984602137921","20.46356893482","29.649808717711","36.708762308897","24.8841843159434","23.4594043489913","20.7382547682563","17.9729364923527","17.990957584277","20.5487711628247","17.799432159807","11.8548852548507","14.6829451209467","21.9024478977446","17.2049062202635","15.4968717811697","17.8745645740828","20.8728209431104","25.9243472045365","26.2233218765535","24.0302672561312","28.4447506748134","19.2896403415913","22.6689374956629","30.12182088843","29.9105632718997","27.1543032025562","24.2582934324282","14.059103514827","11.3540410995882","13.6197282823822","17.3753050230772","","",
"Argentina","ARG","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","0.399023317273574","0.528740719242123","0.589414159675013","0.631281115967808","1.89043472536134","2.43104362464399","2.7033946611443","2.24868213839083","2.51189072225726","5.43754939776104","6.36291275398382","5.29471546318367","3.17539359228057","3.39518491491652","4.15450292458961","3.44434472015589","1.30633097323914","1.88046849092095","1.54563052459739","3.63203448271886","2.57705746762547","1.17294195987171","1.15651581062206","1.157799401219","1.03927759905985","1.25924893981047","1.61467915822487","1.44826370202564","0.850515506881471","1.4425401893934","2.40768149993503","1.99273727781115","5.80334674012971","5.06466655688391","4.88426197986274","5.67800664263117","6.02972815943685","4.97412822794161","5.05455682105266","3.19753858756716","3.46666203913257","3.90286904845143","3.76621595953502","3.37108014544302","3.04386403943688","1.3562564931771","1.14484722976945","1.29893613269216","2.23589092166097","","",
"Armenia","ARM","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.105584846900049","0.102698622724189","0.468567477517513","0.767345271773748","0.54561241859973","0.551497143477938","0.18747608557601","0.170480275113635","0.363203883730915","0.296755140331251","0.460041921777302","0.520673274294422","0.974003625800407","0.901240751571266","1.78886171122718","1.29706129940055","1.29454567258323","1.65663555927667","2.99212855726381","4.10302192949365","3.95521144791282","3.4055880950439","3.39391108380503","4.01650335610857","4.58316634350548","5.94786142873503","6.60117600604235","","",
"American Samoa","ASM","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
