POR  EMPRESAS / By Company,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cerro Colorado,75,100.2,119.2,133.9,128.3,131.5,119.5,90.4,115.5,98.7,104.2,93.7,89,94.3,73.1,73.6,79.6,74.4,74,66.2,"66,2"
Quebrada Blanca,71.1,73.1,68.6,74.6,73.8,80.1,76.3,81,82.4,82.9,85.4,87.4,86.2,63.4,62.4,56.2,48.1,39.1,34.7,23.4,"25,5"
Zaldívar,135,150.4,147.7,140.4,147.8,150.5,147.6,123.3,146.3,142.9,133.5,137,144.4,132.3,131.1,126.5,100.6,103.4,103.4,103.3,"94,5"
El Abra,198.7,220.1,197.2,217.6,225.2,226.6,218,210.6,218.6,166,165.8,164.1,145.2,123.4,153.7,155.6,166.4,147.2,99.9,78.4,"91,3"
Andacollo,21.4,21.8,22,21.1,22.1,21,20.9,23.4,18.8,18.6,21.1,17.9,45.1,72.3,79.8,81.1,71.8,73,73.2,76,"67,2"
Collahuasi,48.1,434.6,436,452.7,433.5,394.7,481,427,440,452,464.4,535.9,504,453.3,282.1,444.5,470.4,455.3,506.5,524,"559,2"
Lomas Bayas,19.3,44.6,51.3,56.3,59.3,60.4,62,63.2,64.3,61.5,59.2,73.1,71.8,73.6,73.3,74.2,66.4,70.6,80.1,78,"72,7"
Los Pelambres,-,12.3,308.8,373.8,335.5,337.8,362.6,333.8,335.2,300.1,351.2,322.6,398,426.1,417.7,419.2,404.6,375.8,367.8,356.3,"370,5"
Centinela (Oxidos) (5),-,-,-,43,84.3,92.4,97.8,98.1,94,93,90.8,90.2,95.3,97.1,105,102.6,93.8,75.9,55.8,64.5,"92,6"
Atacama Kozán,-,-,-,-,-,-,23.8,21.4,16.1,18.4,13.8,8.8,8.6,13.1,12.7,12.6,13.7,14.1,13.1,10.1,"12,2"
Haldeman,-,-,-,-,-,-,4.3,11.2,15.2,14.2,17.2,13,15.7,15.4,13.5,14.4,10,9.7,0.2,0,0
Spence,-,-,-,-,-,-,-,-,4.3,128.1,164.8,162.3,178.1,181,166.7,151.6,176.1,175.6,167.4,198.6,"176,4"
Grace,-,-,-,-,-,-,-,-,5.8,16.9,21.1,16.4,22.6,19.7,17.8,19.7,21,9.5,6.5,7.4,"8,8"
Franke,-,-,-,-,-,-,-,-,-,-,-,6.1,16.9,15.1,17.9,19.9,19.2,20.1,17.8,19.6,"20,1"
Tres Valles,-,-,-,-,-,-,-,-,-,-,-,-,0.3,8.9,13.9,12.5,8.2,5.8,5.4,5.9,"5,9"
Centinela (Sulfuros) (5),-,-,-,-,-,-,-,-,-,-,-,-,-,96.6,173.2,177.1,180.7,145.2,180.4,163.8,"155,4"
Caserones,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.2,44.6,74.9,117.3,122.8,"136,5"
Sierra Gorda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.7,87.9,98.1,101.7,"101,9"
Antucoya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.2,66.2,80.5,"72,2"
OTROS / Other,172.7,165.4,139.8,149.1,136.7,161.6,164.8,156.9,184.2,192.03,232.4,223,217.2,213.1,201.2,194.8,191.2,169.8,161.2,149.8,"146,6"
TOTAL (Miles de TM de cobre fino) / (kMT Copper Content),3686.9,4391.2,4602,4739,4580.6,4904.2,5412.5,5320.5,5360.8,5557.03,5327.6,5394.4,5418.9,5262.8,5433.9,5776,5761.1,5772.1,5552.6,5503.5,
