"DTI_CL_ANO","Year","DTI_CL_T064CAT_MINERAS","Mining category","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"2015","2015","T064002","Medium-scale Mining","T065008","Zinc",48071,,
"2015","2015","T064003","Small-scale mining","T065001","Copper",58433,,
"2015","2015","T064003","Small-scale mining","T065003","Gold",1.41,,
"2015","2015","T064003","Small-scale mining","T065004","Silver",13.67,,
"2016","2016","T064001","Large-scale mining","T065001","Copper",5370629,,
"2016","2016","T064001","Large-scale mining","T065002","Molybdenum",55834,,
"2016","2016","T064001","Large-scale mining","T065003","Gold",39.15,,
"2016","2016","T064001","Large-scale mining","T065004","Silver",1434.09,,
"2016","2016","T064001","Large-scale mining","T065005","Iron",5035076,,
"2016","2016","T064001","Large-scale mining","T065007","Lead",1110,,
"2016","2016","T064001","Large-scale mining","T065008","Zinc",42870,,
"2016","2016","T064002","Medium-scale Mining","T065001","Copper",194732,,
"2016","2016","T064002","Medium-scale Mining","T065003","Gold",5.63,,
"2016","2016","T064002","Medium-scale Mining","T065004","Silver",48.82,,
"2016","2016","T064002","Medium-scale Mining","T065005","Iron",3973797,,
"2016","2016","T064003","Small-scale mining","T065001","Copper",61015,,
"2016","2016","T064003","Small-scale mining","T065003","Gold",1.54,,
"2016","2016","T064003","Small-scale mining","T065004","Silver",18.52,,
"2017","2017","T064001","Large-scale mining","T065001","Copper",5332958,,
"2017","2017","T064001","Large-scale mining","T065002","Molybdenum",62454,,
"2017","2017","T064001","Large-scale mining","T065003","Gold",31.58,,
"2017","2017","T064001","Large-scale mining","T065004","Silver",1243.92,,
"2017","2017","T064001","Large-scale mining","T065005","Iron",5333650,,
"2017","2017","T064001","Large-scale mining","T065007","Lead",1233,,
"2017","2017","T064001","Large-scale mining","T065008","Zinc",28566,,
"2017","2017","T064002","Medium-scale Mining","T065001","Copper",165263,,
"2017","2017","T064002","Medium-scale Mining","T065003","Gold",4.91,,
"2017","2017","T064002","Medium-scale Mining","T065004","Silver",58.41,,
"2017","2017","T064002","Medium-scale Mining","T065005","Iron",4215676,,
"2017","2017","T064002","Medium-scale Mining","T065007","Lead",329,,
"2017","2017","T064002","Medium-scale Mining","T065008","Zinc",442,,
"2017","2017","T064003","Small-scale mining","T065001","Copper",59743,,
"2017","2017","T064003","Small-scale mining","T065003","Gold",1.42,,
"2017","2017","T064003","Small-scale mining","T065004","Silver",16.25,,
"2018","2018","T064001","Large-scale mining","T065001","Copper",5653698,,
"2018","2018","T064001","Large-scale mining","T065002","Molybdenum",60248,,
"2018","2018","T064001","Large-scale mining","T065003","Gold",31.45,,
"2018","2018","T064001","Large-scale mining","T065004","Silver",1297.59,,
"2018","2018","T064001","Large-scale mining","T065005","Iron",5082572,,
"2018","2018","T064001","Large-scale mining","T065007","Lead",503,,
"2018","2018","T064001","Large-scale mining","T065008","Zinc",26404,,
"2018","2018","T064002","Medium-scale Mining","T065001","Copper",169380,,
"2018","2018","T064002","Medium-scale Mining","T065003","Gold",4.38,,
"2018","2018","T064002","Medium-scale Mining","T065004","Silver",60.69,,
"2018","2018","T064002","Medium-scale Mining","T065005","Iron",3860066,,
"2018","2018","T064002","Medium-scale Mining","T065007","Lead",209,,
"2018","2018","T064002","Medium-scale Mining","T065008","Zinc",406,,
"2018","2018","T064003","Small-scale mining","T065001","Copper",48949,,
"2018","2018","T064003","Small-scale mining","T065003","Gold",1.23,,
"2018","2018","T064003","Small-scale mining","T065004","Silver",11.95,,
"1998","1998","T064001","Large-scale mining","T065001","Copper",3454911,,
"1998","1998","T064001","Large-scale mining","T065002","Molybdenum",23297.5,,
"1998","1998","T064001","Large-scale mining","T065003","Gold",23.59,,
"1998","1998","T064001","Large-scale mining","T065004","Silver",1195.19,,
"1998","1998","T064001","Large-scale mining","T065005","Iron",9112055,,
"1998","1998","T064002","Medium-scale Mining","T065001","Copper",269084,,
"1998","1998","T064002","Medium-scale Mining","T065003","Gold",15.09,,
"1998","1998","T064002","Medium-scale Mining","T065004","Silver",122.28,,
"1998","1998","T064002","Medium-scale Mining","T065006","Manganese",32627,,
"1998","1998","T064002","Medium-scale Mining","T065007","Lead",337,,
"1998","1998","T064002","Medium-scale Mining","T065008","Zinc",15943,,
"1998","1998","T064003","Small-scale mining","T065001","Copper",39999,,
"1998","1998","T064003","Small-scale mining","T065003","Gold",6.3,,
"1998","1998","T064003","Small-scale mining","T065004","Silver",22.73,,
"1998","1998","T064003","Small-scale mining","T065006","Manganese",16304,,
"1999","1999","T064001","Large-scale mining","T065001","Copper",4154558,,
"1999","1999","T064001","Large-scale mining","T065002","Molybdenum",27270,,
"1999","1999","T064001","Large-scale mining","T065003","Gold",25.27,,
"1999","1999","T064001","Large-scale mining","T065004","Silver",1268.62,,
"1999","1999","T064001","Large-scale mining","T065005","Iron",8345035,,
"1999","1999","T064002","Medium-scale Mining","T065001","Copper",218896,,
"1999","1999","T064002","Medium-scale Mining","T065003","Gold",18.68,,
"1999","1999","T064002","Medium-scale Mining","T065004","Silver",92.44,,
"1999","1999","T064002","Medium-scale Mining","T065006","Manganese",21601,,
"1999","1999","T064002","Medium-scale Mining","T065007","Lead",608,,
"1999","1999","T064002","Medium-scale Mining","T065008","Zinc",32263,,
"1999","1999","T064003","Small-scale mining","T065001","Copper",48331,,
"1999","1999","T064003","Small-scale mining","T065003","Gold",4.12,,
"1999","1999","T064003","Small-scale mining","T065004","Silver",19.65,,
"1999","1999","T064003","Small-scale mining","T065006","Manganese",18904,,
"2000","2000","T064001","Large-scale mining","T065001","Copper",4326188,,
"2000","2000","T064001","Large-scale mining","T065002","Molybdenum",33639,,
"2000","2000","T064001","Large-scale mining","T065003","Gold",27.3,,
"2000","2000","T064001","Large-scale mining","T065004","Silver",1008.9,,
"2000","2000","T064001","Large-scale mining","T065005","Iron",8728927,,
"2000","2000","T064002","Medium-scale Mining","T065001","Copper",247094,,
"2000","2000","T064002","Medium-scale Mining","T065003","Gold",23.2,,
"2000","2000","T064002","Medium-scale Mining","T065004","Silver",216.05,,
"2000","2000","T064002","Medium-scale Mining","T065006","Manganese",21585,,
"2000","2000","T064002","Medium-scale Mining","T065007","Lead",785,,
"2000","2000","T064002","Medium-scale Mining","T065008","Zinc",31403,,
"2000","2000","T064003","Small-scale mining","T065001","Copper",44603,,
"2000","2000","T064003","Small-scale mining","T065003","Gold",3.48,,
"2000","2000","T064003","Small-scale mining","T065004","Silver",13.66,,
"2000","2000","T064003","Small-scale mining","T065006","Manganese",20131,,
"2001","2001","T064001","Large-scale mining","T065001","Copper",4432463,,
"2001","2001","T064001","Large-scale mining","T065002","Molybdenum",33492,,
"2001","2001","T064001","Large-scale mining","T065003","Gold",20.04,,
"2001","2001","T064001","Large-scale mining","T065004","Silver",1052.41,,
"2001","2001","T064001","Large-scale mining","T065005","Iron",8834152,,
"2001","2001","T064002","Medium-scale Mining","T065001","Copper",292924,,
"2001","2001","T064002","Medium-scale Mining","T065003","Gold",20.05,,
"2001","2001","T064002","Medium-scale Mining","T065004","Silver",284.57,,
"2001","2001","T064002","Medium-scale Mining","T065006","Manganese",11758,,
"2001","2001","T064002","Medium-scale Mining","T065007","Lead",1193,,
"2001","2001","T064002","Medium-scale Mining","T065008","Zinc",32762,,
"2001","2001","T064003","Small-scale mining","T065001","Copper",40675,,
"2001","2001","T064003","Small-scale mining","T065003","Gold",2.58,,
"2001","2001","T064003","Small-scale mining","T065004","Silver",11.69,,
"2001","2001","T064003","Small-scale mining","T065006","Manganese",19562,,
"2002","2002","T064001","Large-scale mining","T065001","Copper",4137307,,
"2002","2002","T064001","Large-scale mining","T065002","Molybdenum",29467,,
"2002","2002","T064001","Large-scale mining","T065003","Gold",18.94,,
"2002","2002","T064001","Large-scale mining","T065004","Silver",787.67,,
"2002","2002","T064001","Large-scale mining","T065005","Iron",7268803,,
"2002","2002","T064002","Medium-scale Mining","T065001","Copper",433462,,
"2002","2002","T064002","Medium-scale Mining","T065003","Gold",17.93,,
"2002","2002","T064002","Medium-scale Mining","T065004","Silver",412.72,,
"2002","2002","T064002","Medium-scale Mining","T065006","Manganese",9641,,
"2002","2002","T064002","Medium-scale Mining","T065007","Lead",2895,,
"2002","2002","T064002","Medium-scale Mining","T065008","Zinc",36161,,
"2002","2002","T064003","Small-scale mining","T065001","Copper",49018,,
"2002","2002","T064003","Small-scale mining","T065003","Gold",1.82,,
"2002","2002","T064003","Small-scale mining","T065004","Silver",10.09,,
"2002","2002","T064003","Small-scale mining","T065006","Manganese",2554,,
"2003","2003","T064001","Large-scale mining","T065001","Copper",4437442,,
"2003","2003","T064001","Large-scale mining","T065002","Molybdenum",33375,,
"2003","2003","T064001","Large-scale mining","T065003","Gold",19.32,,
"2003","2003","T064001","Large-scale mining","T065004","Silver",835.66,,
"2003","2003","T064001","Large-scale mining","T065005","Iron",8011023,,
"2003","2003","T064002","Medium-scale Mining","T065001","Copper",425032,,
"2003","2003","T064002","Medium-scale Mining","T065003","Gold",16.4,,
"2003","2003","T064002","Medium-scale Mining","T065004","Silver",456.95,,
"2003","2003","T064002","Medium-scale Mining","T065006","Manganese",11756,,
"2003","2003","T064002","Medium-scale Mining","T065007","Lead",1697,,
"2003","2003","T064002","Medium-scale Mining","T065008","Zinc",33051,,
"2003","2003","T064003","Small-scale mining","T065001","Copper",46704,,
"2003","2003","T064003","Small-scale mining","T065003","Gold",3.23,,
"2003","2003","T064003","Small-scale mining","T065004","Silver",20.18,,
"2003","2003","T064003","Small-scale mining","T065006","Manganese",7885,,
"2004","2004","T064001","Large-scale mining","T065001","Copper",4997399,,
"2004","2004","T064001","Large-scale mining","T065002","Molybdenum",41883,,
"2004","2004","T064001","Large-scale mining","T065003","Gold",19.47,,
"2004","2004","T064001","Large-scale mining","T065004","Silver",923938.7,,
"2004","2004","T064001","Large-scale mining","T065005","Iron",8003491,,
