"DTI_CL_ANO","Year","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"2015","2015","T065027","Copper sulfate",9496,,
"2015","2015","T065030","Peat",2306,,
"2015","2015","T065031","Plaster",860075,,
"2015","2015","T065032","Iodine",21179,,
"2016","2016","T065009","Clays",80401,,
"2016","2016","T065011","Calcium Carbonate",7376096,,
"2016","2016","T065012","Sodium chloride",8139914,,
"2016","2016","T065013","Sulfur compounds",4879495,,
"2016","2016","T065014","Boron compounds",663153,,
"2016","2016","T065015","Lithium compounds",78182,,
"2016","2016","T065016","Potassium compounds",2087828,,
"2016","2016","T065017","Diatomite",26937,,
"2016","2016","T065019","Feldspar",6352,,
"2016","2016","T065020","Nitrates",805873,,
"2016","2016","T065021","Perlite",5500,,
"2016","2016","T065023","Pumicite",840976,,
"2016","2016","T065024","Silicon resources",1311305,,
"2016","2016","T065025","Phosphoric rocks",6205,,
"2016","2016","T065026","Ornamental rocks",7687,,
"2016","2016","T065027","Copper sulfate",11410,,
"2016","2016","T065030","Peat",3621,,
"2016","2016","T065031","Plaster",934033,,
"2016","2016","T065032","Iodine",18758,,
"2016","2016","T065033","Zeolites",386,,
"2017","2017","T065009","Clays",84446,,
"2017","2017","T065011","Calcium Carbonate",7023205,,
"2017","2017","T065012","Sodium chloride",7440741,,
"2017","2017","T065013","Sulfur compounds",4661886,,
"2017","2017","T065014","Boron compounds",718618,,
"2017","2017","T065015","Lithium compounds",81378,,
"2017","2017","T065016","Potassium compounds",1975251,,
"2017","2017","T065017","Diatomite",27557,,
"2017","2017","T065019","Feldspar",4421,,
"2017","2017","T065020","Nitrates",852922,,
"2017","2017","T065021","Perlite",4210,,
"2017","2017","T065023","Pumicite",838890,,
"2017","2017","T065024","Silicon resources",1439616,,
"2017","2017","T065025","Phosphoric rocks",4238,,
"2017","2017","T065026","Ornamental rocks",6245,,
"2017","2017","T065027","Copper sulfate",11893,,
"2017","2017","T065030","Peat",7908,,
"2017","2017","T065031","Plaster",1157466,,
"2017","2017","T065032","Iodine",17976,,
"2017","2017","T065033","Zeolites",86,,
"2018","2018","T065009","Clays",101494,,
"2018","2018","T065011","Calcium Carbonate",6619275,,
"2018","2018","T065012","Sodium chloride",10012105,,
"2018","2018","T065013","Sulfur compounds",4515156,,
"2018","2018","T065014","Boron compounds",398411,,
"2018","2018","T065015","Lithium compounds",97323,,
"2018","2018","T065016","Potassium compounds",1569067,,
"2018","2018","T065017","Diatomite",24736,,
"2018","2018","T065018","Dolomite",0,,
"2018","2018","T065019","Feldspar",2789,,
"2018","2018","T065020","Nitrates",949434,,
"2018","2018","T065021","Perlite",5020,,
"2018","2018","T065023","Pumicite",803916,,
"2018","2018","T065024","Silicon resources",1376389,,
"2018","2018","T065025","Phosphoric rocks",4154,,
"2018","2018","T065026","Ornamental rocks",3511,,
"2018","2018","T065027","Copper sulfate",13523,,
"2018","2018","T065028","Sodium sulfate",0,,
"2018","2018","T065030","Peat",6249,,
"2018","2018","T065031","Plaster",909191,,
"2018","2018","T065032","Iodine",20216,,
"2018","2018","T065033","Zeolites",122,,
"1998","1998","T065009","Clays",17291,,
"1998","1998","T065010","Baryte",1430,,
"1998","1998","T065011","Calcium Carbonate",5998601,,
"1998","1998","T065012","Sodium chloride",6207266,,
"1998","1998","T065014","Boron compounds",288306,,
"1998","1998","T065015","Lithium compounds",29184,,
"1998","1998","T065016","Potassium compounds",593741,,
"1998","1998","T065017","Diatomite",14868,,
"1998","1998","T065018","Dolomite",16473,,
"1998","1998","T065019","Feldspar",1460,,
"1998","1998","T065020","Nitrates",881682,,
"1998","1998","T065022","Pyrophyllite",2930,,
"1998","1998","T065023","Pumicite",911913,,
"1998","1998","T065024","Silicon resources",641115,,
"1998","1998","T065025","Phosphoric rocks",31405,,
"1998","1998","T065026","Ornamental rocks",1485,,
"1998","1998","T065028","Sodium sulfate",51928,,
"1998","1998","T065029","Talc",842,,
"1998","1998","T065031","Plaster",780676,,
"1998","1998","T065032","Iodine",9722,,
"1999","1999","T065009","Clays",64186,,
"1999","1999","T065010","Baryte",823,,
